id,title,ISBN13,pages,authors,publisher,date
2847,Seri Aplikasi Pemrograman: Database Menggunakan Delphi,9789792024227,244,Inge Martina,Elex Media Komputindo,2001
2848,Beginning C# Databases: From Novice to Professional,9781590594339,648,"James Huddleston,Scott Allen,Ranga Raghuram",Apress,November 19th 2004
2849,Pro Oracle Spatial for Oracle Database 11g,9781590598993,787,"Ravikanth V. Kothuri,Euro Beinat,Albert Godfrind",Apress,October 1st 2007
2850,Oracle Database AJAX & PHP Web Application Development,9780071502771,458,"Lee Barney,Michael McLaughlin",McGraw-Hill/Osborne Media,February 1st 2008
2851,Oracle Database Performance and Scalability: A Quantitative Approach,9781118056998,728,Henry H. Liu,"John Wiley & Sons, Inc",December 2011
2852,Modeling and Designing Accounting Systems: Using Access to Build a Database,9780471450870,149,Laura R. Ingraham,Wiley,December 1st 2005
2853,"Teradata Database Design Giving Detailed Data Flight, First Edition",9780970498052,,Tom Coffing,,
2854,Study Guide for 1Z0-051: Oracle Database 11g: SQL Fundamentals I,9781475204667,144,Matthew Morris,CreateSpace Independent Publishing Platform,April 16th 2012
2855,Oracle Database 11g Performance Tuning Recipes: A Problem-Solution Approach,9781430236627,592,"Sam Alapati,Darl Kuhn,Bill Padfield",Apress,August 23rd 2011
2856,OCP: Oracle Database 11g Administrator Certified Professional Certification Kit,9780470395141,2040,"Biju Thomas,Robert G. Freeman,Charles A. Pack,Doug Stuns",John Wiley & Sons,April 17th 2009
2857,"DB2 9.7 for Linux, UNIX, and Windows Database Administration: Certification Study Notes",9781583473672,160,Roger E. Sanders,Mc Press,November 2nd 2011
2858,Advances in Knowledge Discovery in Databases,9783319132112,370,"Animesh Adhikari,Jhimli Adhikari",Springer,February 14th 2015
2859,Fundamentals of Database Systems,9781299958814,1088,Ramez Elmasri,Pearson,October 8th 2013
2860,Oracle Database 12c Security,9780071824286,552,"David C. Knox,William Maroulis,Scott Gaetjen",McGraw-Hill Education,January 5th 2015
2861,Fuzzy Database Modeling,9783790811711,234,"Adnan Yazici,R. George",Physica-Verlag,January 22nd 1999
2862,Recovery Mechanisms in Database Systems,9780136142157,898,"Vijay Kumar,Meichun Hsu",Prentice Hall,January 1st 1998
2863,GPS / Database ANDROID Programming,,178,Christos Karayiannis,,January 12th 2014
2864,Introduction to Database Systems,,580,ITL Education Solutions Limited,Pearson,June 22nd 2010
2865,Van Bodemvondst tot Database,9789053453186,176,"Hupperetz, Wim",Matrijs,2010
2866,The Teradata Database:  Introduction And Sql,9780966549300,,Brian R. Marshall,,
2867,Oracle Software: Oracle Database,9781156553961,370,Books LLC,General Books LLC,August 31st 2011
2868,Knowledge Discovery in Databases,9780262660709,539,"Gregory Piateski,Gregory Piateski",AAAI Press,December 30th 1991
2869,Beginning Android Database Development,9781430262329,400,Praveen Chaturvedi,Apress,February 12th 2014
2870,Food Properties Database,9780849307645,12,R. Paul Singh,CRC Press,September 15th 1993
2871,"Data Structures, Files and Databases",9780333436905,256,"Carl Bamford,Paul J. Curran",Scholium International,December 1st 1987
2872,Database Programming Using R,,90,Agus Kurniawan,PE Press,December 27th 2014
2873,Database: Technology and Management,9780471887379,352,Robert C. Goldstein,Wiley,January 18th 1985
2874,Creating Cool Web Databases,9780764530197,469,"Joseph T. Sinclair,Carol McCullough-Dieter",John Wiley & Sons Inc (Computers),October 9th 1996
2875,ECDL Advanced Databases,9780131202405,320,Paul Holden,Prentice Hall,February 12th 2004
2876,"Databases: Design, Development & Deployment",9780071215060,552,Peter Rob,McGraw-Hill Companies,January 1st 2004
2877,Practical Database Management,9780534925925,498,Tony Fabbri,PWS Pub. Co.,January 1st 1992
2878,Distributed and Multi-Database Systems,9780553091564,477,Angelo R. Bobak,Bantam Books,April 1st 1993
2879,Database Design and Application Development,9780070530515,,Peter Rob,McGraw-Hill Companies,January 1st 1995
2880,Component Database Systems,9780080490724,313,"Klaus R Dittrich,Andreas Geppert",Morgan Kaufmann Publishers,May 14th 2014
2881,Python Programming with Oracle Database,9781608300136,176,Ray Terrill,Champion Writers,August 1st 2009
2882,Accuracy of Spatial Databases,9780203490235,207,M.F. Goodchild,CRC Press,December 6th 1989
2883,Relational Database Systems,9780444877185,451,Claude Delobel,North-Holland,
2884,Database Systems Engineering,9780198596721,448,R. P. Whittington,"Oxford University Press, USA",December 1st 1988
2885,Pro IOS Database Development,9781430236290,375,Marc Hoffman,Apress,August 14th 2013
2886,Databases: Organizing Information,9781435894266,48,Greg Roza,Rosen Central,August 15th 2010
2887,Introducing Relational Database,9780850123975,188,Alan J. Mayne,NCC Publications,1983
2888,Readings in Artificial Intelligence and Databases,9780080886626,688,"John Mylopoulos,Michael L. Brodie",Morgan Kaufmann Publishers,September 1st 1988
2889,Database Performance,9780080285894,341,D. Bell,Pergamon,
2890,Building Databases,,168,F. Mark Schiavone,Sycamore Technical Press,June 8th 2013
2891,DNA Databases,9780737736007,100,Lauri R Harding,Greenhaven Press,August 1st 2007
2892,The Collaborative Database,9780730005155,,Chris Bigum,Hyperion Books,
2893,Starting Database Administration: Oracle DBA,,,Oraclesql-plsql,Smashwords Edition,June 1st 2014
2894,Filters and Membranes for Hemodialysis Database 2000:,9783805570626,,Claudio Ronco,S. Karger AG (Switzerland),August 1st 2000
2895,"Advanced Topics in Database Research, Volume 3",9781591402558,370,"Keng Siau,Keng Siau",Idea Group Publishing,July 1st 2003
2896,XML Data Management: Native XML and XML-Enabled Database Systems,9780201844528,688,"Akmal B. Chaudhri,Roberto Zicari",Addison-Wesley Professional,March 22nd 2003
2897,Study Guide for 1Z0-047: Oracle Database SQL Expert (Oracle Certification Prep),,151,Matthew Morris,Matthew Morris,April 5th 2012
2898,Database Annotation in Molecular Biology: Principles and Practice,9780470856819,266,Arthur M. Lesk,Wiley,January 1st 2005
2899,Student Lecture Companion: A Note-Taking Guide : Databases Illuminated,9780763726928,156,Catherine M. Ricardo,Jones & Bartlett Pub,August 30th 2004
2900,"The Software Catalog: Microcomputers, Winter 1985 Complete Catalog",9780444008831,1700,International Software Database,Elsevier Science & Technology,
2901,How to Build a Million Dollar Database,,148,Michelle Bergquist,Pink Tomato Publishing,August 15th 2008
2902,Visual Basic Database Programming [With CDROM],9780201721935,448,Michael Kofler,Addison-Wesley Professional,November 2nd 2001
2903,Nearest Neighbor Search: : A Database Perspective,9781280700385,170,"Yannis Manolopoulos,Apostolos N Papadopoulos",Springer,January 10th 2010
2904,Flexible Databases Supporting Imprecision And Uncertainty,9783540332886,,Gloria Bordogna,Springer,June 16th 2006
2905,Relational Database Systems: Analysis And Comparison,9780387120324,618,Joachim Schmidt,Springer,
2906,Maxdata: A Time Series Database System,9783540522096,151,Wilhelm A. Hennerkes,Springer,February 9th 1990
2907,Beginning ASP.Net Databases Using C#,9781861007414,480,"Jesudas Chinnathampi,Erix Mintz,John West,James Greenwood,Donald Xie,Brian Matsik,Jan D. Narkiewicz,Matt Butler,Kent Tegels,Jan Narkewicz,Fabio Claudio Ferrachiati,Eric Mintz,Fabio Ferracchiati",Wrox Press,July 28th 2002
2908,"Biodiversity Databases: Techniques, Politics, and Applications",9780415332903,193,"Gordon B. Curry,Gordon B. Curry",CRC Press,April 25th 2007
2909,Managing Database: Four Critical Factors,9780894351037,,Michael M. Gorman,,
2910,Massively Parallel Databases and Mapreduce Systems,9781601987501,120,"Shivnath Babu,Herodotos Herodotou",Now Publishers,November 13th 2013
2911,Machine Learning and Knowledge Discovery in Databases,9783642158841,542,"José L. Balcázar,Francesco Bonchi,Aristides Gionis",Springer,March 13th 2011
2912,PostgreSQL Database Administration: Basic concepts,,175,Federico Campoli,,January 3rd 2015
2913,Solutions Manual for Database Development and Management:,9780849392382,,Chao Lee,Auerbach Publications,
2914,Building Database Driven Web Catalogs,9780072127898,300,Sherif Danish,McGraw-Hill Education,May 22nd 1998
2915,Web Database Development For Windows Platforms,9780130139856,475,Dan D. Gutierrez,Prentice Hall,January 1st 2000
2916,Using Adsm To Back Up Databases,9780738400341,,IBM Redbooks,,
2917,Multimedia Database Retrieval: A Humancentered Approach,9780387346298,186,"Ling Guan,Paisarn Muneesawang",Springer Science+Business Media,January 1st 2006
2918,Handbook of Carcinogenic Potency and Genotoxicity Databases,9780849326844,768,Lois Swirsky Gold,CRC Press,November 26th 1996
2919,Custom: Database Design & Development Simplified,9781111031480,280,Marselis,Cengage Learning,July 13th 2009
2920,National Forensic DNA Database in the EU,,111,"Nathan Van Camp,Kris Dierickx","Center for Biomedical Ethics and Law, Catholic University",2007
2921,"Researcher's Guide to the USRDS Database, 1998",,,USRDS,,1998
2922,Teradata Database Administration Tasm and Viewpoint,9781306330015,262,"Tom Coffing,Carling Nolan",Coffing Publishing,January 1st 2013
2923,"Researcher's Guide to the USRDS Database, 1999",,,USRDS,,1999
2924,Database Machines: Modern Trends and Applications,9783540171645,570,"A.K. Sood,A.H. Qureshi",Springer,December 1st 1986
2925,Database Systems: An Application Oriented Approach,9780321312563,,"Arthur J. Bernstein,Philip M. Lewis,Arthur Bernstein",,
2926,Gale Directory of Databases: 2 Volumes,9780787622961,2800,Gale Cengage Learning,Gale Cengage,September 1st 1998
2927,Introduction to Database Management: A Practical Approach,9780697004512,532,Gerry Litton,William C. Brown,January 1st 1987
2928,Community Built Databases: Research And Development,9783642190469,375,Eric Pardede,Springer,May 21st 2011
2929,Standard Relational and Network Database Languages,9781447132899,148,"Emmanuel J. Yannakoudakis,C.P. Cheng",Springer,February 3rd 2012
2930,Natural Medicines Comprehensive Database 2010,9780978820572,,Letter Pharmacist's,Pharmacist's Letter,January 1st 2010
2931,"Database Management: Concepts, Design, and Practice",9780134681252,560,Esen Ozkarahan,Prentice Hall,December 1st 1989
2932,Professional iOS Database Application Programming,,384,Patrick Alessi,Wrox,April 10th 2013
2933,Design of an Object-Oriented Database Language,,,Bruce Conrad,Bruce Conrad,November 24th 2009
2934,Database Security XII: Status and Prospects,9780792384885,296,Sushil Jajodia,Springer,April 30th 1999
2935,Agile Practices for Oracle Database Development,9780321769787,300,Pramodkumar J. Sadalage,Addison-Wesley Professional,April 1st 2016
2936,Oracle Performance Tuning for Database Administrat,9780596003548,,"Peter Corrigan,Mark Gurry",O'Reilly Media,January 2001
2937,Database Management for Microcomputers: Design and Implementation,9780030315886,378,Jan L. Harrington,Harcourt Brace College Publishers,November 1st 1997
2938,Database Design And Management: An Applied Approach,9780071009348,,"David Stamper,Wilson Price",,
2939,Management of Heterogeneous and Autonomous Database Systems,9781558602168,432,"Ahmed Elmagarmid,Ahmed Elmagarmid",Morgan Kaufmann Publishers,October 27th 1998
2940,iPhone Database Programming Exercises: SQLite,,47,Norman McEntire,Servin Corporation,March 1st 2010
2941,Effective Databases For Text & Document Management,9781931777636,371,Shirley A. Becker,IRM Press,January 1st 2000
2942,Fuzzy Preference Queries to Relational Databases,9781848168695,330,"Olivier Pivert,Patrick Bosc",Imperial College Press,February 24th 2012
2943,The Nested Universal Relation Database Model,9783540554936,177,Mark Levene,Springer,June 1st 1992
2944,Advances in Database Systems: Implementations and Applications,9783211826140,377,"Jan Paredaens,Lev Tenenbaum",Springer,November 2nd 1994
2945,Database-Driven Web Sites [With DVD],9780619064488,828,"Mike Morrison,Michael Morrison",Course Technology,November 1st 2002
2946,SQL Short Course (Database Programming),9781937842338,270,Chris Fehily,Questing Vole Press,September 8th 2014
2947,Database Practitioner's Guide to Useable Mathematics,9781466567566,400,Joe Celko,CRC Press,February 15th 2016
2948,Cesmm3 Price Database 1999/2000,9780727727794,600,E.C. Harris,Thomas Telford,January 1st 1999
2949,"Database Computers: Principles, Architectures, And Techniques",9780070622951,511,Stanley Su,McGraw-Hill Companies,January 1st 1988
2950,Database: Ecdl - The European PC Standard,9781852334468,118,Bill McTaggart,Springer,January 1st 2001
2951,Cold Fusion4: Web Database Programming,9789799597618,141,Gregorius Agung,Jubilee Solusi Enterprise,2000
2952,Distributed Multimedia Databases: Techniques and Applications,9781591400189,384,Timothy K. Shih,IGI Publishing,July 1st 2001
2953,"Food Properties: Database 2.0, Windows",9780849307652,12,R. Paul Singh,CRC Press,April 18th 1995
2954,Machine Learning and Knowledge Discovery in Databases,9786613567109,648,"José L. Balcázar,Francesco Bonchi,Aristides Gionis,Sebag Michle",Springer,September 13th 2010
2955,Lectures on SQL and Relational Database Design,9781480191822,176,John W Starner,Createspace,November 7th 2012
2956,Natural Medicines: Comprehensive Database 2013,9780978820596,2323,Pharmacist's Letter,Therapeutic Research Faculty,May 1st 2012
2957,RMAN Recipes for Oracle Database 11g,9781430203056,0,Darl Kuhn,Apress L. P.,August 30th 2007
2958,Db2 Universal Database Certification Guide,9780130796615,,Dwaine Snow,,
2959,Database systemen voor de praktijk,,661,J.A. Vandenbulcke,SDU Uitgevers,2005
2960,Database Systems and Applications: Mathematical Applications,9781496086266,168,V. Vasu,Createspace,February 26th 2014
2961,Scaleable Object-Oriented Database Design,9780134903767,,Peter M. Heinckiens,Prentice Hall,
2962,C++ Database Applications with the Paradox Engine,9780830643271,325,"Thomas   Finn,Robert Signore",McGraw-Hill Companies,August 1st 1993
2963,AS/400 Architecture and Application: The Database Machine,9780894354342,300,Jill T. Lawrence,QED Information Sciences,November 15th 1992
2964,The Problem of Incomplete Information in Relational Databases,9780387549194,156,G. Grahne,Springer,November 1st 1991
2965,Database And File Management Systems For The Microcomputer,9780673180889,122,Nelson T. Dinerstein,Pearson Scott Foresman,
2966,Database Decisions: Briefings On The Management Of Technology,9780273602897,,Bart O'Brien,Trans-Atlantic Publications,
2967,Your First Guide to Database Design,,243,Andrew Comeau,Andrew Comeau,October 4th 2013
2968,Databases - Role and Structure: An Advanced Course,9780521254304,406,"P. M. Stocker,P. M. Stocker",Cambridge University Press,July 26th 1984
2969,SAP Database Administration with IBM DB2,9781592294497,,Andrae Faustmann,Galileo Press,March 1st 2013
2970,Concepts of Database Management Systems (Bca),9781322128542,259,Shefali Naik,Pearson India,January 1st 2014
2971,Intelligent Multimedia Databases and Information Retrieval,9781613501276,,"Li Yan,Zongmin Ma",Information Science Reference,September 30th 2011
2972,Physical Database Design Using Oracle,9780203506233,264,Burleson K.,Taylor & Francis Group,June 1st 2004
2973,The Legal Protection of Databases: A Comparative Analysis,9781281779724,362,E. Derclaye,Edward Elgar Publishing,November 14th 2008
2974,Unix (TM) Relational Database Management,9780139386220,,Rod Manis,Prentice Hall,March 17th 1988
2975,"Database Systems: Concepts, Management, and Applications",9780155000292,736,"Alden C. Lorents,Lorents, Alden / Morgan, James Lorents, Alden / Morgan, James",Dryden Press,November 1st 1997
2976,Computing For Site Managers: Database Techniques,9780632039685,224,Robin Flowers,Wiley-Blackwell,June 13th 1996
2977,Client/Server Databases: Enterprise Computing,9780133051605,368,"James      Martin,Joseph Leben",Prentice Hall,July 7th 1995
2978,Algebraic Structures in Automata and Database Theory,9789810209360,296,B.I. Plotkin,World Scientific Publishing Company,December 1st 1992
2979,"Relational Databases: Concepts, Design, and Administration",9780070072527,294,Kenmore S. Brathwaite,McGraw-Hill Companies,June 1st 1991
2980,Contemporary Database Marketing: Concepts and Applications,9781933199443,360,"Lisa D. Spiller,Kurtis D. Ruf",Racom Communications,August 30th 2013
2981,Managing Reference Data in Enterprise Databases,9780080510941,387,Malcolm Chisholm,Morgan Kaufmann Publishers,August 1st 2000
2982,Visual Basic 4 Database How to,9781878739940,835,"Stuart Bloom,Don Kiely",Waite Group Press,October 1st 1995
2983,Semantic Database Systems: A Functional Introduction,9780863113468,167,C.S. Prabhu,Vantage Press,September 1st 1993
2984,Wie Data Management: Databases and Organizations,9780471428510,,Richard T. Watson,John Wiley & Sons,
2985,Image Databases And Multi Media Search,9789810233273,328,"Ramesh Jain,Arnoldus Wilhelmus Maria Smeulders,Arnold Smeulders",World Scientific Publishing Company,January 23rd 1998
2986,Learn Database Systems with Implementation and Examples,9781291688894,180,Imed Bouchrika,Lulu.com,January 3rd 2014
2987,Natural Medicines Comprehensive Database 2009,9780978820558,2323,"Letter Pharmacist's,Letter Pharmacist's",Therapeutic Research Faculty,May 1st 2009
2988,A Practical Guide to Relational Database Design,9780952604303,182,"Peter Domanski,Philip Irvine",Domanski-Irvine Books,August 1995
2989,Analysis and Comparison of Relational Database Systems,9780201199406,280,Patrick Valduriez,Addison Wesley Publishing Company,September 1st 1988
2990,Beginning Oracle Database 11g Administration,9781430206286,430,William Barker,Apress,October 27th 2013
2991,Query Processing for Advanced Database Systems,9780080515595,512,"Johann Christoph Freytag,David Maier,Gottfried Vossen",Morgan Kaufmann Publishers,August 1st 1993
2992,Trends In Database Design And Customer Services,9780942308273,,Wendy Schipper,,
2993,Database Processing with Fourth Generation Languages,9780538106207,312,Gary W. Hansen,Thomson South-Western,November 1st 1988
2994,Managing Time in Databases: A Comprehensive Approach,9780080963372,502,"Tom Johnston,Randall Weis",Morgan Kaufmann Publishers,May 14th 2014
2995,Instant Oracle Database and Powershell How-To,9781849688598,80,Geoffrey Hudik,Packt Publishing,January 25th 2013
2996,Oracle Database 10g DBA Handbook,9780071770439,736,"Kevin Loney,Bob Bryla",McGraw-Hill Education,April 14th 2005
2997,The Complete Business Traveler's Guide,9780942651003,,American Database Corporation,American Database Corporation,
2998,Using Informix Data Blades,9780789714183,,Database Consulting Group,Que,October 1st 1997
2999,No Special Skills,,168,Ms. E's Database,AuthorHouse,November 9th 2011
3000,Collins Britain Compact Road Atlas 2009,,278,Collins Bartholomew Digital Database,Collins,
3001,The Software Catalog: Microcomputers & Minicomputers,9780444007759,,International Software Database,Elsevier Science & Technology,
3002,The Software Catalog: Science & Engineering,9780444010582,612,International Software Database,Elsevier Science & Technology,
3003,The Twelfth Virgin Film Guide,,964,"""TV Guide Movie Database""",Virgin Books,September 9th 2004
3004,The Complete International Traveler's Guide,9780942651010,,"American Database Corporation,William A. Benjamin",American Database Corporation,
3005,"Proceedings: Pecora Thirteen: Human Interactions with the Environment: Perspectives from Space: [Proceedings], August 20-22, 1996, Ramkota Inn, Sioux Falls, South Dakota",9781570830556,,Global Resource Information Database,American Society for Photogrammetry & Remote Sensing,January 1st 1998
3006,The Thirteenth Virgin Film Guide,,896,"""TV Guide Movie Database""",Virgin Books,September 8th 2005
3007,Dir of CA Wholesalers and Service,9781575410869,,Database Publishing Company,Database Publishing Company,January 1st 1999
3008,"PHP & MySQL: Your Visual Blueprint for Creating Dynamic, Database-Driven Web Sites",9780470048399,307,Janet Valade,Visual,September 1st 2006
3009,"Oracle Database 11g Oracle Real Application Clusters Handbook, 2nd Edition (Oracle Press)",,544,K. Gopalakrishnan,McGraw-Hill Osborne Media,August 10th 2011
3010,"Children's Literature: An Invitation to the World (with Children's Literature Database CD-ROM, Version 2.0)",9780321049155,464,Diana Mitchell,Allyn & Bacon,November 8th 2002
3011,"Oracle Database 10g XML & SQL: Design, Build, & Manage XML Applications in Java, C, C++, & PL/SQL",9780072229523,572,"Mark Scardina,Ben Chang,Jinyu Wang",McGraw-Hill/Osborne Media,July 19th 2004
3012,Data Modeling for Mongodb: Building Well-Designed and Supportable Mongodb Databases,9781935504702,211,Steve Hoberman,"Technics Publications, LLC",June 10th 2014
3013,The Best Boring Book Ever of Select Healthcare Classification Systems and Databases,9780615909769,170,"Katherine S. Rowell,Ann Cutrell",Healthdataviz,November 19th 2013
3014,Ocp Oracle9i Database: Fundamentals I Exam Guide [With CD-ROM],9780072195408,561,"Jason Couchman,Sudheer Marisetti",McGraw-Hill/Osborne Media,January 14th 2002
3015,Webrad: Building Database Applications on the Web with Visual FoxPro and Web Connection,9781930919075,550,"Harold Chattaway,Randy Pearson,Barbara Peisch",Hentzenwerke Publishing,July 1st 2002
3016,"A Computational Model of Natural Language Communication: Interpretation, Inference, and Production in Database Semantics",9783540354765,365,Roland Hausser,Springer,September 1st 2006
3017,ICDL 5.0 Module 5 Using Database Using Access 2007,,140,CiA Training Ltd 2009,CiA Training Ltd 2009,2009
3018,OCP Oracle9i Database: New Features for Administrators Exam Guide,9780072195309,432,Daniel Benjamin,Osborne/McGraw-Hill,March 1st 2002
3019,Beginner Database Design & SQL Programming Using Microsoft SQL Server 2014,,608,Kalman Toth,,April 30th 2014
3020,"The New Relational Database Dictionary: Terms, Concepts, and Examples",9781491951736,450,C.J. Date,O'Reilly Media,December 31st 2015
3021,Learning PHP & MySQL: Step-By-Step Guide to Creating Database-Driven Web Sites,9780596550394,432,"Michele E. Davis,Jon A. Phillips",O'Reilly Media,August 1st 2007
3022,The Kingfisher Facts and Records Book: The Ultimate Information Database,9780753452707,96,Kingfisher Publications,Kingfisher,September 15th 2000
3023,Databases: From Relational to Object-Oriented Systems,9781850321248,382,"Claude Delobel,Christophe Decluse,Phillippe Richard",International Thomson Computer Press,September 1st 1994
3024,Object Persistence: Beyond Object Oriented Databases,9780131924369,250,Roger Sessions,Prentice Hall PTR,May 21st 1996
3025,Beginning Oracle SQL: For Oracle Database 12c,9781430265566,440,"Tim Gorman,Inger Jorgensen,Melanie Cafffrey",Apress,March 10th 2014
3026,"High Performance Databases: Design, Development, and Deployment",9780849308826,812,Sanjiv Purba,CRC Press,September 21st 2000
3027,Instructor's manual to accompany Database System Concepts,9780070447554,162,"Henry F. Korth,Abraham Silberschatz",McGraw-Hill,June 1st 1991
3028,Oracle Database Xe 11gr2 Jump Start Guide,9781849686747,146,Asif Momen,Packt Publishing,July 8th 2012
3029,"Modern Database Systems: The Object Model, Interoperability, And Beyond",9780201590982,705,Won Kim,Addison-Wesley Professional,September 30th 1994
3030,Database Support for Workflow Management: The Wide Project,9780792384144,278,Paul Grefen,Springer,March 31st 1999
3031,Building Internet Database Servers with CGI: With CDROM,9781562055738,450,"Jeff Rowe,Eit",New Riders Publishing,January 1st 1996
3032,Tomes of Delphi WIN32 Database Developer's Guide,9781556226632,365,Warren Rachele,Wordware Publishing,July 25th 1999
3033,Oracle on VMware: Expert Tips for Database Visualization,9780979795145,232,Bert Scalzo,Rampant Techpress,September 1st 2008
3034,Building Intelligent Databases with Oracle PL/SQL [With Disk],9780137943142,544,Kevin T. Owens,Prentice Hall,January 10th 1998
3035,Data Management and Query Processing in Semantic Web Databases,9783642193569,270,Sven Groppe,Springer,May 6th 2011
3036,Winning Telco Customers Using Marketing Databases,9781580530361,344,Rob Mattison,Artech House Publishers,January 1st 1999
3037,Database Design for Information Retrieval: A Conceptual Approach,9780471827863,232,Raya Fidel,Wiley,November 24th 1987
3038,Relational Database Management: A Systems Programming Approach,9780137718665,555,W. Valder,Prentice Hall,January 1st 1989
3039,Advances in Fuzzy Object-Oriented Databases: Modeling and Applications,9781591403845,354,Zongmin Ma,Idea Group Publishing,November 30th 2004
3040,"Database Technologies: Concepts, Methodologies, Tools, And Applications",9781605660585,2962,John   Erickson,Information Science Reference,February 28th 2009
3041,The Cold Fusion Web Database Construction Kit,9780789709707,786,"Ben Forta,Leon Chalnick,David Watts",Que,February 1st 1997
3042,Content-Based Video Retrieval: A Database Perspective,9781402076176,151,"Milan Petkovic,Willem Jonker",Springer,October 31st 2003
3043,4th Dimension: A Complete Guide to Database Development,9780673381729,480,Timothy Orr Knight,Pearson Scott Foresman,September 28th 1988
3044,Data Models: A Semantic Approach for Database Systems,9780262021517,288,Sheldon A. Borkin,MIT Press (MA),May 27th 1980
3045,Interactive Relational Database Design: A Logic Programming Implementation,9783540518815,194,"Tapan P. Bagchi,Vinay K. Chaudhri",Springer,November 8th 1989
3046,"Ethnobotany In Madagascar: Overview, Action Plan, And Database",9789996984761,,"Mark J. Plotkin,Linda Sussman",,
3047,"Database Design and Programming with Access, SQL and Visual Basic",9780077095857,450,John Carter,"McGraw-Hill Inc.,US",April 1st 2000
3048,Building PDA Databases for Wireless and Mobile Development,9780471216452,336,"Robert Laberge,Srdjan Vujosevic",Wiley,October 31st 2002
3049,"Informix Database Administrator's Survival Guide, the (Book/Disk)",9780131243149,320,Joe Lumbley,Prentice Hall PTR,November 21st 1994
3050,Introduction to Relational Databases and SQL Programming [With 3 CDROMs],9780072229240,395,Christopher Allen,McGraw-Hill Companies,November 27th 2003
3051,JDBC Developer's Resource: Database Programming on the Internet,9780138423520,500,Art Taylor,Prentice Hall,April 1st 1997
3052,"Modeling Financial Markets: Using Visual Basic.Net and Databases to Create Pricing, Trading, and Risk Management Models [With CDROM]",9780071417723,392,"Benjamin Van Vilet,Robert  Hendry,Benjamin Van Vilet",McGraw-Hill Companies,January 21st 2004
3053,"Oracle Database 11g Oracle Real Application Clusters Handboooracle Database 11g Oracle Real Application Clusters Handbook, 2nd Edition K, 2nd Edition",9780071752619,576,K. Gopalakrishnan,McGraw-Hill/Osborne Media,August 1st 2011
3054,"Database, Data Warehouse and Business Intelligence Questions and Answers",,442,Suresh Basandra,Basandra Books,September 9th 2013
3055,Programming the Perl DBI: Database Programming with Perl,9781449315368,255,"Tim Bunce,Alligator Descartes",O'Reilly Media,February 4th 2000
3056,"Relational Database Index Design and the Optimizers: DB2, Oracle, SQL Server, et al.",9780471719991,310,Tapio Lahdenmaki,Wiley-Interscience,July 1st 2005
3057,"Database Design Using Entity-Relationship Diagrams, Second Edition (Foundations of Database Design)",,371,"Sikha Bagui,Sikha",Auerbach Publication,December 13th 2011
3058,Database Design in Plain English: A Simplified Guide for Anyone to Understand Database Concepts Using a Step-By-Step Approach,9781419670275,168,Joe Herzog,Booksurge Publishing,November 25th 2007
3059,Creating Database-Backed Library Web Pages: Using Open Source Tools,9780838909102,268,Stephen R. Westman,American Library Association,April 1st 2006
3060,Beginning Database-Driven Application Development in Java EE: Using GlassFish,9781430209638,409,Yuli Vasiliev,Apress,September 1st 2008
3061,"Concurrent Systems: An Integrated Approach To Operating Systems, Database And Distributed Systems",9780201416770,602,Jean Bacon,Addison Wesley Publishing Company,March 1st 1993
3062,Beginner Database Design & SQL Programming Using Microsoft SQL Server 2012,,556,Kalman Toth,,September 1st 2012
3063,Database Archiving: How to Keep Lots of Data for a Very Long Time,9780123747204,291,Jack E. Olson,Morgan Kaufmann Publishers,November 1st 2008
3064,MySQL: Your Visual Blueprint to Open Source Database Management [With CDROM],9780764516924,304,Michael Moncur,Visual,October 23rd 2002
3065,"Microsoft Visual Basic 2012 for Windows, Web, Office, and Database Applications: Comprehensive",9781285197975,984,Corinne Hoisington,Cengage Learning,September 24th 2013
3066,MCSE Training Kit (Exam 70-229): Microsoft SQL Server(tm) 2000 Database Design and Implementation,9780735612488,650,"Microsoft Corporation,Microsoft Corporation",Microsoft Press,May 25th 2001
3067,Blackstone's Police Operational Handbook 2014: Law,,898,"Police National Legal Database (PNLD),Ian Bridges,Fraser Sampson",OUP Oxford,August 29th 2013
3068,Children's Literature Database and Booklet,9780131199316,,"Michael O. Tunnell,James S. Jacobs,Daniel L. Darigan",Prentice Hall,July 16th 2004
3069,"OCA/OCP Oracle Database 11g All-in-One Exam Guide with CD-ROM: Exams 1Z0-051, 1Z0-052, 1Z0-053 (Oracle Press)",9780071629188,1050,"John    Watson,Bob Bryla,Roopesh Ramklass",McGraw-Hill Osborne Media,August 17th 2009
3070,Beginning ASP.Net Databases Using VB.NET: Written and Tested or Final Relwase of Net V 1.0,9780764543753,480,"John Kauffman,Fabio Claudio Ferracchiati,Brian Matsik,Jesudas Chinnathampi",Wrox Press,June 15th 2002
3071,Joe Celko's Complete Guide to NoSQL: What Every SQL Professional Needs to Know about Non-Relational Databases,9780124071926,224,Joe Celko,Morgan Kaufmann Publishers,October 31st 2013
3072,RMAN Recipes for Oracle Database 12c: A Problem-Solution Approach,9781430248361,796,"Darl Kuhn,Sam Alapati,Arup Nanda",Apress,July 18th 2013
3073,Oracle Database 12c Performance Tuning Recipes: A Problem-Solution Approach,9781430261872,636,"Sam Alapati,Darl Kuhn,Bill Padfield",Apress,December 18th 2013
