ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
JDBC Developer's Resource: Database Programming on the Internet,Art Taylor,Prentice Hall Professional Technical Reference,9.78014E+12,1997,4,715,JDBC Developer's Resource: Database Programming on the Internet,Art Taylor,Prentice Hall,9.78014E+12,1997,4,500
Developing Databases with Access,Wayne S. Freeze,"O'Reilly Media, Incorporated",9.7806E+12,2007,4,504,Developing Databases with Access,Wayne Freeze,O'Reilly Media,9.7806E+12,2007,4,504
Database Law,"Jordan Publishing Limited,Simon Chalton,Christopher Rees","Jordan Publishing, Limited",9.78085E+12,1998,8,241,Database Law,"Christopher Rees,Simon Chalton",Jordan Publishing (GB),9.78085E+12,1998,8,241
A Sane Approach to Database Design,Mark Johansen,Lulu.com,9.78144E+12,2008,7,200,A Sane Approach to Database Design,Mark Johansen,Lulu.com,9.78144E+12,2008,7,187
Nearest Neighbor Search: A Database Perspective,Apostolos N. Papadopoulos,Springer US,9.78144E+12,2010,12,170,Nearest Neighbor Search: : A Database Perspective,"Yannis Manolopoulos,Apostolos N Papadopoulos",Springer,9.78128E+12,2010,1,170
Nearest Neighbor Search: A Database Perspective,Apostolos N. Papadopoulos,Springer US,9.78144E+12,2010,12,170,Nearest Neighbor Search:: A Database Perspective,"Apostolos N. Papadopoulos,Yannis Manolopoulos",Springer,9.78144E+12,2010,12,170
Research Directions in Database Security,Teresa F. Lunt,Springer New York,9.78039E+12,1992,5,265,Research Directions in Database Security,Teresa F. Lunt,Springer,9.78039E+12,1992,4,265
Working with Oracle: An Introduction to Database Management,"Jack L. Hursch,Carolyn Hurrsch",T A B Books,9.78083E+12,1987,8,240,Working with Oracle: An Introduction to Database Management,"Jack L. Hursch,Carolyn J. Hursch",Tab Books,9.78083E+12,1987,8,228
Oracle Database Administration,"David C. Kreines,Brian Laskey","O'Reilly Media, Incorporated",9.78157E+12,1999,4,582,Oracle Database Administration: The Essential Reference,"David C. Kreines,Brian Laskey",O'Reilly Media,9.78157E+12,1999,4,582
The Research Databases,Dr Maryam Fouladi,CreateSpace Publishing,9.78151E+12,2015,1,734,The Research Databases,Dr Maryam Fouladi,Createspace,9.78151E+12,2015,1,734
Oracle Database Programming using Java and Web Services,"Kuassi Mensah,Thomas Kyte",Elsevier Science,9.78156E+12,2006,7,1120,Oracle Database Programming Using Java and Web Services,"Kuassi Mensah,Thomas Kyte",Digital Press,9.78156E+12,2006,7,1087
Cases On Database Technologies And Applications,Mehdi Khosrow-Pour,IGI Global,9.7816E+12,2006,4,308,Cases on Database Technologies and Applications,Mehdi Khosrow-Pour,Idea Group Publishing,9.78128E+12,2006,1,306
The Design and Implementation of Modern Column-Oriented Database Systems,"Daniel Abadi,Peter Boncz,Stavros Harizopoulos",Now Publishers,9.7816E+12,2013,11,102,The Design and Implementation of Modern Column-Oriented Database Systems,"Daniel Abadi,Peter Boncz,Stavros Harizopoulos",Now Publishers,9.7816E+12,2013,11,100
Pro Oracle Spatial for Oracle Database 11g / Edition 1,"Ravikanth Kothuri,Albert Godfrind,Euro Beinat",Apress,9.78159E+12,2007,10,787,Pro Oracle Spatial for Oracle Database 11g,"Ravikanth V. Kothuri,Euro Beinat,Albert Godfrind",Apress,9.78159E+12,2007,10,787
PC Magazine Guide to Client - Server Databases,Joe Salemi,Ziff-Davis Press,9.78156E+12,1992,10,264,Pc Magazine Guide To Client/Server Databases,Joe Salemi,Ziff-Davis Press,9.78156E+12,1992,11,264
Relational Database Systems / Edition 1,"Dan A. Simovici,Richard L. Tenney",Elsevier Science,9.78013E+12,1995,8,485,Relational Database Systems,Dan A. Simovici,Academic Press,9.78013E+12,1995,8,485
"Optimal Database Marketing: Strategy, Development, and Data Mining / Edition 1","Ronald G. Drozdenko,Perry D. Drake",SAGE Publications,9.78076E+12,2002,4,424,"Optimal Database Marketing: Strategy, Development, and Data Mining: Strategy, Development and Data Mining",Ronald Drozdenko,SAGE Publications Ltd,9.78076E+12,2002,3,398
Pro Oracle Database 11g Administration / Edition 1,Darl Kuhn,Apress,9.78143E+12,2010,12,720,Pro Oracle Database 11g Administration,Darl Kuhn,Apress,9.78143E+12,2010,12,679
Contemporary Issues In Database Design And Information Systems Development,Keng Siau,IGI Global,9.7816E+12,2007,4,344,Contemporary Issues in Database Design and Information Systems Development,"Keng Siau,Keng Siau",Idea Group Reference,9.7816E+12,2007,4,331
Databases with Access: Learning Made Simple,MOIRA Stephen,Taylor & Francis,9.78075E+12,2006,9,126,Databases with Access (Learning Made Simple),Moira Stephen,Routledge,9.78075E+12,2006,9,126
The Accuracy Of Spatial Databases,Michael F. Goodchild,Taylor & Francis,9.78085E+12,1989,12,308,The Accuracy of Spatial Databases,"Goodchild F. Goodchild,Goodchild F. Goodchild",CRC Press,9.78085E+12,1989,12,308
The Accuracy Of Spatial Databases,Michael F. Goodchild,Taylor & Francis,9.78085E+12,1989,12,308,Accuracy of Spatial Databases,M.F. Goodchild,CRC Press,9.7802E+12,1989,12,207
Refactoring Databases: Evolutionary Database Design / Edition 1,"Scott W. Ambler,Pramodkumar J. Sadalage",Addison-Wesley,9.78032E+12,2006,3,384,Refactoring Databases: Evolutionary Database Design,"Scott W. Ambler,Pramod J. Sadalage",Addison Wesley,9.78032E+12,2006,3,384
"Advanced Topics In Database Research, Volume 3",Keng Siau,IGI Global,9.78159E+12,2003,7,370,"Advanced Topics in Database Research, Volume 3","Keng Siau,Keng Siau",Idea Group Publishing,9.78159E+12,2003,7,370
Database Management Through DBase,"Robert T. Grauer,Maryann Barber","McGraw-Hill Companies, The",9.78007E+12,1988,10,392,Database Management Through dBASE,"Robert T. Grauer,Maryann Barber",McGraw-Hill Companies,9.78007E+12,1988,11,392
The Legal Protection of Databases: A Comparative Analysis,Estelle Derclaye,"Elgar, Edward Publishing, Inc.",9.78185E+12,2008,2,392,The Legal Protection Of Databases: A Comparative Analysis,Estelle Derclaye,Edward Elgar Publishing,9.78185E+12,2008,1,362
The Legal Protection of Databases: A Comparative Analysis,Estelle Derclaye,"Elgar, Edward Publishing, Inc.",9.78185E+12,2008,2,392,The Legal Protection of Databases: A Comparative Analysis,E. Derclaye,Edward Elgar Publishing,9.78128E+12,2008,11,362
Geographic Databases and Information Systems,Prof Emmanuel Stefanakis PhD,CreateSpace Publishing,9.7815E+12,2014,8,386,Geographic Databases and Information Systems,Emmanuel Stefanakis,Createspace Independent Publishing Platform,9.7815E+12,2014,8,386
Teach Yourself Database Programming with Visual Basic 5 in 21 Days,"Michael C. Amundsen,Curtis Smith",Sams,9.78067E+12,1997,5,1080,"Teach Yourself Database Programming with Visual Basic in 21 Days, with CD-ROM","Michael Amundsen,Curtis  Smith",Sams,9.78067E+12,1997,1,1041
Expert Oracle Database Architecture: 9i and 10g Programming Techniques and Solutions,Thomas Kyte,Apress,9.78143E+12,2005,9,768,Expert Oracle Database Architecture: 9i and 10g Programming Techniques and Solutions,Thomas Kyte,Apress,,2005,9,768
Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites,"Tim King,George Reese,Randy Yarger,Hugh E. Williams","O'Reilly Media, Incorporated",9.7806E+12,2002,4,444,Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites,"Tim King,George Reese,Randy Yarger,Hugh E. Williams",O'Reilly Media,9.7806E+12,2002,4,444
Database-Driven Web Sites,Kristin Antelman,Taylor & Francis,9.78079E+12,2002,1,133,Database-Driven Web Sites,Kristin Antelman,CRC Press,9.78079E+12,2002,10,133
Database Book,Mary E. S. Loomis,Prentice Hall Professional Technical Reference,9.78002E+12,1986,10,475,The Database Book,Mary E. S. Loomis,MacMillan Publishing Company,9.78002E+12,1986,10,465
Beginning Databases with Mysql,"MATTHEW,Neil Matthew",Apress,9.78186E+12,2002,2,608,Beginning Databases with MySQL,"Richard Stones,Neil Matthew",Wrox Press,9.78186E+12,2002,2,608
Blackstone's Police Operational Handbook 2013: Law,Police National Legal Database (PNLD),OUP Oxford,9.78019E+12,2012,9,0,Blackstone's Police Operational Handbook 2011: Law,Police National Legal Database (PNLD),"Oxford University Press, USA",9.7802E+12,2011,3,912
Blackstone's Police Operational Handbook 2013: Law,Police National Legal Database (PNLD),OUP Oxford,9.78019E+12,2012,9,0,Blackstone's Police Operational Handbook 2012: Law,"Police National Legal Database (PNLD),Ian Bridges,Fraser Sampson","Oxford University Press, USA",9.7802E+12,2012,2,900
Java Database Programming: Servlets and JDBC,"Alan Williamson,D. G. Williamson,Ceri Moran",Prentice Hall Professional Technical Reference,9.78014E+12,1997,11,439,Java Database Programming,"Alan R. Williamson,Ceri Moran,D.G. Williamson",Prentice Hall PTR,9.78014E+12,1997,11,439
Understanding Database Administration,Pablo Berzukov,CreateSpace Publishing,9.78145E+12,2010,1,138,Understanding Database Administration,Pablo Berzukov,Createspace,9.78145E+12,2010,1,138
Database Design and Development: A Visual Approach / Edition 1,"Raymond Frost,John Day,Craig Van Slyke,John Day,Craig Van Slyke",Pearson,9.78013E+12,2005,10,528,Database Design and Development: A Visual Approach,"Raymond Frost,John Day,Craig Van Slyke",Prentice Hall,9.78013E+12,2005,10,508
Distributed Database Systems / Edition 1,David Bell,Addison-Wesley,9.7802E+12,1992,2,410,Distributed Database Systems,"David J. Bell,Jane Grimson",Addison Wesley Publishing Company,9.7802E+12,1992,2,424
Databases and Database Management,Juliet Holmes,Learning Matters Limited,9.7819E+12,2003,3,154,Databases and Database Management,"Juliet Holmes,R. L. Warrender",Learning Matters Limited,9.7819E+12,2003,3,154
Database Archiving: How to Keep Lots of Data for a Very Long Time,Jack E. Olson,Elsevier Science,9.78012E+12,2008,11,312,Database Archiving: How to Keep Lots of Data for a Very Long Time,Jack E. Olson,Morgan Kaufmann Publishers,9.78012E+12,2008,11,291
Database Programming With Visual Basic .NET,"Carsten Thomsen,David Kramer",Apress,9.78189E+12,2001,7,504,Database Programming with VB.NET,Carsten Thomsen,Apress,9.78189E+12,2001,8,472
Database Programming With Visual Basic .NET,"Carsten Thomsen,David Kramer",Apress,9.78189E+12,2001,7,504,Database Programming with Visual Basic .Net,Carsten Thomsen,Apress,9.78159E+12,2002,10,960
Database Systems Handbook,Paul J. Fortier,"McGraw-Hill Companies, The",9.78007E+12,1996,10,640,Database Systems Handbook,Paul J. Fortier,McGraw-Hill Companies,9.78007E+12,1997,1,611
Expert Oracle9i Database Administration / Edition 1,"Sam Alapati,Martin Reid",Apress,9.78159E+12,2003,4,1248,Expert Oracle9i Database Administration,Sam R. Alapati,Apress,9.78159E+12,2003,4,1248
Development of a Virtual Database Module,David Kuhn,VDM Verlag Dr. Mueller E.K.,9.78364E+12,2008,8,52,Development of a Virtual Database Module,David Kuhn,VDM Verlag Dr. Mueller E.K.,9.78364E+12,2008,8,52
"Physical Database Design: the database professional's guide to exploiting indexes, views, storage, and more / Edition 4","Sam S. Lightstone,Toby J. Teorey,Tom Nadeau",Elsevier Science,9.78012E+12,2007,4,448,"Physical Database Design: The Database Professional's Guide to Exploiting Indexes, Views, Storage, and More","Sam S. Lightstone,Toby J. Teorey,Tom Nadeau",Morgan Kaufmann Publishers,9.78012E+12,2007,4,427
Target Smart: Database Marketing for the Small Business,"Jay Newburg,Philip Kotler,Claudio Marcus",Entrepreneur Press,9.78156E+12,1996,1,181,Targetsmart!: Database Marketing for the Small Business,"Jay Newburg,Claudio Marcus,Philip Kotler",Oasis Press,9.78156E+12,1996,10,181
The Essence of Databases,"Fred Rolland,F. D. Rolland,F. D. Rolland",Prentice Hall Professional Technical Reference,9.78014E+12,1997,11,226,The Essence of Databases,Fred Rolland,Prentice Hall PTR,9.78014E+12,1997,11,240
DNA Databases,Stefan Kiesbye,Greenhaven Publishing,9.78074E+12,2011,9,128,DNA Databases,Stefan Kiesbye,Greenhaven Press,9.78074E+12,2011,10,100
Database Systems: A Pragmatic Approach,Elvis C. Foster,Apress,9.78148E+12,2014,12,556,Database Systems: A Pragmatic Approach,"Elvis Foster,Shripad Godbole",Apress,9.78148E+12,2014,12,556
Database Systems: A Pragmatic Approach,Elvis C. Foster,Apress,9.78148E+12,2014,12,556,Database Systems: A Pragmatic Approach,"Elvis C. Foster,Shripad Godbole",Apress,,2014,12,556
Database Marketing: The Ultimate Marketing Tool,"Edward L. Nash,Nash","McGraw-Hill Companies, The",9.78007E+12,1993,6,289,Database Marketing: The Ultimate Marketing Tool,Edward L. Nash,McGraw-Hill Companies,9.78007E+12,1993,6,336
Database Concepts,"Dennis W. Fife,Donald Deutsch",South-Western,9.78054E+12,1986,3,304,Database Concepts,Dennis W. Fife,Thomson South-Western,9.78054E+12,1986,1,294
Linguistic Databases,"John Nerbonne,Oliver Christ,Andrei Constantinescu",Center for the Study of Language and Inf,9.78158E+12,1998,6,243,Linguistic Databases,John Nerbonne,Center for the Study of Language and Inf,9.78158E+12,1998,6,264
Web Database Development for Windows Platforms,"Dan D. Gutierrez,Dan Guitierrez",Pearson Education,9.78013E+12,1999,8,475,Web Database Development For Windows Platforms,Dan D. Gutierrez,Prentice Hall,9.78013E+12,2000,1,475
Java and Databases,"Stephen M. Gorman,Oopsla",ISTE/Hermes Science Publishing,9.7819E+12,2003,1,136,Java and Databases,Stephen M. Gorman,Elsevier Science & Technology,9.7819E+12,2004,2,128
Oracle Database 11g - Underground Advice for Database Administrators: Beyond the basics,April C. Sims,Packt Publishing,9.78185E+12,2010,4,348,Oracle Database 11g Underground Advice For Database Administrators,April Sims,Packt Publishing,9.78185E+12,2010,4,348
Oracle Database 11g - Underground Advice for Database Administrators: Beyond the basics,April C. Sims,Packt Publishing,9.78185E+12,2010,4,348,Oracle Database 11g - Underground Advice for Database Administrators,April C. Sims,Packt Publishing,9.78185E+12,2010,4,348
Data Mining in Time Series Databases,"Abraham Kandel,Mark Last,Horst Bunke","World Scientific Publishing Company, Incorporated",9.78981E+12,2004,11,204,Data Mining in Time Series Databases,Mark Last,World Scientific Publishing Company,9.78981E+12,2004,6,192
Database Modeling with Microsoft Visio for Enterprise Architects / Edition 1,"Terry Halpin,Ken Evans,Pat Hallock,Bill Maclean,Pat Hallock",Elsevier Science,9.78156E+12,2003,8,425,Database Modeling with Microsoft(r) VISIO for Enterprise Architects,"Terry Halpin,Ken Evans",Morgan Kaufmann Publishers,9.78156E+12,2003,8,425
Instant Access Databases,Greg Buczek,McGraw-Hill Professional,9.78007E+12,2000,12,759,Instant Access Databases [With CDROM],Greg Buczek,McGraw-Hill Companies,9.78007E+12,2000,12,759
"The Object Database Handbook: How to Select, Implement, and Use Object-Oriented Databases",Douglas K. Barry,Wiley,9.78047E+12,1996,5,352,"The Object Database Handbook: How to Select, Implement, and Use Object-Oriented Databases",Douglas K. Barry,Wiley,9.78047E+12,1996,5,352
OCP Oracle9i Database: New Features for Administrators Exam Guide,"Daniel Benjamin,Jason Couchman,Daniel Benkamin","McGraw-Hill Companies, The",9.78007E+12,2002,3,396,OCP Oracle9i Database: New Features for Administrators Exam Guide,Daniel Benjamin,Osborne/McGraw-Hill,9.78007E+12,2002,3,432
Principles of Direct and Database Marketing / Edition 3,Alan Tapp,"Pearson Education, Limited",9.78027E+12,2005,2,504,Principles Of Direct And Database Marketing,Alan Tapp,FT Press,9.78027E+12,2005,1,489
Principles of Database Systems with Internet and Java Applications / Edition 1,"Gregory Riccardi,Greg Riccardi",Pearson,9.7802E+12,2000,7,518,Principles of Database Systems with Internet and Java Applications,Greg Riccardi,Addison-Wesley,9.7802E+12,2000,8,518
Translucent Databases,Peter Wayner,Flyzone Press,9.78097E+12,2003,8,185,Translucent Databases,Peter Wayner,Flyzone Sr Llc,9.78097E+12,2003,4,193
SQL Short Course (Database Programming),Chris Fehily,Questing Vole Press,9.78194E+12,2014,9,270,SQL Short Course (Database Programming),Chris Fehily,Questing Vole Press,9.78194E+12,2014,9,270
Cryptography in the Database: The Last Line of Defense / Edition 1,Kevin Kenan,Addison-Wesley,9.78032E+12,2005,11,312,Cryptography in the Database: The Last Line of Defense,Kevin Kenan,Addison Wesley Publishing Company,9.78032E+12,2005,10,277
"Database Technologies: Concepts, Methodologies, Tools, and Applications",John Erickson,IGI Global,9.78161E+12,2009,2,2962,"Database Technologies: Concepts, Methodologies, Tools, And Applications",John   Erickson,Information Science Reference,9.78161E+12,2009,2,2962
Java Oracle Database Development,David Gallardo,Pearson Education,9.78013E+12,2002,12,420,Java Oracle Database Development,David Gallardo,Prentice Hall PTR,9.78013E+12,2002,12,420
Management of Geological Databases,Joseph Frizado,Elsevier Science & Technology Books,9.78008E+12,1992,10,250,Management Of Geological Databases,Joseph Frizado,Pergamon,9.78008E+12,1992,10,250
Database Reengineering and Interoperability,T.Y. Cheung,Springer US,9.78146E+12,2013,12,350,Database Reengineering and Interoperability,"T y Cheung,J Fong,B Siu",Springer,9.78146E+12,2012,11,350
DB2 Universal Database V8.1 Certification Exam 700 Study Guide,Roger E. Sanders,IBM Press,9.78013E+12,2003,9,416,DB2 Universal Database V8.1 Certification Exam 703 Study Guide,Roger E. Sanders,Prentice Hall PTR,9.78013E+12,2004,5,499
DB2 Universal Database V8.1 Certification Exam 700 Study Guide,Roger E. Sanders,IBM Press,9.78013E+12,2003,9,416,DB2 Universal Database V8.1 Certification Exam 700 Study Guide,Roger E. Sanders,IBM Press,9.78013E+12,2003,9,448
Developing Analytical Database Applications,"Francis McGuff,John Kador",Prentice Hall Professional Technical Reference,9.78013E+12,1998,12,640,Developing Analytical Database Applications,"Francis McGuff,John Kador",Prentice Hall,9.78013E+12,1999,1,620
Windows Azure SQL Database Programming & Design,Kalman Toth,CreateSpace Publishing,9.78148E+12,2013,3,822,Windows Azure SQL Database Programming & Design,Kalman Toth,,,2013,3,822
Oracle Database 11gR2 Performance Tuning Cookbook,Ciro Fiorillo,Packt Publishing,9.78185E+12,2012,1,542,Oracle Database 11gr2 Performance Tuning Cookbook,Ciro Fiorillo,Packt Publishing,9.78185E+12,2012,1,542
Expert Indexing in Oracle Database 11g: Maximum Performance for your Database,"Darl Kuhn,Sam Alapati,Bill Padfield",Apress,9.78143E+12,2011,12,272,Expert Indexing in Oracle Database 11g: Maximum Performance for Your Database,Ignatius Fernandez,Apress,9.78143E+12,2011,12,272
Expert Indexing in Oracle Database 11g: Maximum Performance for your Database,"Darl Kuhn,Sam Alapati,Bill Padfield",Apress,9.78143E+12,2011,12,272,Expert Indexing in Oracle Database 11g: Maximum Performance for Your Database,Darl Kuhn,Apress,9.78143E+12,2012,1,263
"Database Programming with Visual Basic .NET and ADO.NET: Tips, Tutorials, and Code",F. Scott Barker,Sams,9.78067E+12,2002,9,524,"Database Programming with Visual Basic .Net and ADO.NET: Tips, Tutorials, and Code",F. Scott Barker,Sams,9.78067E+12,2002,9,500
Oracle Database 11g New Features,"Robert G. Freeman,Tom Kyte",McGraw-Hill Professional Publishing,9.78007E+12,2007,11,362,Oracle Database 11g New Features,"Tom Kyte,Tom Kyte",McGraw-Hill/Osborne Media,9.78007E+12,2007,11,362
Oracle Database 11g New Features,"Robert G. Freeman,Tom Kyte",McGraw-Hill Professional Publishing,9.78007E+12,2007,11,362,Oracle Database 11g New Features,Robert G. Freeman,McGraw-Hill Education,9.78007E+12,2007,11,362
"Oracle Database 10g High Availability with RAC, Flashback & Data Guard / Edition 1","Matthew Hart,Scott Jesse",McGraw-Hill Professional Publishing,9.78007E+12,2004,4,448,"Oracle Database 10g High Availability with Rac, Flashback & Data Guard","Matthew Hart,Scott Jesse",McGraw-Hill/Osborne Media,9.78007E+12,2004,5,421
Database Application Programming with Linux,"Brian Jepson,Joan Peckham,Ram Sadasiv",Wiley,9.78047E+12,2000,7,528,Database Application Programming with Linux,Brian Jepson,Wiley,9.78047E+12,2000,7,528
Practical PHP and MySQL Website Databases: A Simplified Approach,Adrian W. West,Apress,9.78143E+12,2013,12,448,Practical PHP and MySQL Website Databases: A Simplified Approach,Adrian W. West,Apress,9.78143E+12,2013,12,448
Building a Deductive Database,"Miguel Nussbaum,George W. Zobrist","Intellect, Limited",9.78089E+12,1992,5,272,Building a Deductive Database,Miguel Nussbaum,Intellect Ltd,9.78089E+12,1992,5,259
"Microsoft Visual Basic 2012 for Windows, Web, Office, and Database Applications: Comprehensive",Corinne Hoisington,Cengage Learning,9.78129E+12,2013,9,984,"Microsoft Visual Basic 2012 for Windows, Web, Office, and Database Applications: Comprehensive",Corinne Hoisington,Cengage Learning,9.78129E+12,2013,9,984
Database Management: With Website Development Applications / Edition 1,Greg Riccardi,Pearson Education,9.7802E+12,2002,8,417,Database Management: With Website Development Applications,Greg Riccardi,Prentice Hall,9.7802E+12,2002,8,417
"Spatial Database Systems: Design, Implementation and Project Management / Edition 1","Albert K.W. Yeung,G. Brent Hall",Springer Netherlands,9.7814E+12,2007,1,2007,"Spatial Database Systems: Design, Implementation and Project Management","Albert K.W., Yeung",Springer,9.7814E+12,2007,1,553
"Spatial Database Systems: Design, Implementation and Project Management / Edition 1","Albert K.W. Yeung,G. Brent Hall",Springer Netherlands,9.7814E+12,2007,1,2007,"Spatial Database Systems: Design, Implementation and Project Management","Albert K.W. Yeung,G. Brent Hall",Springer,9.7814E+12,2007,1,553
Oracle Database 10g SQL / Edition 1,"Jason Price,Lisa McClain",McGraw-Hill Professional Publishing,9.78007E+12,2004,2,608,Oracle Database 10g SQL,"Jason Price,Lisa McClain",McGraw-Hill/Osborne Media,9.78007E+12,2004,3,576
SQL Server Programming and Database Design for Developers,Kalman Toth,CreateSpace Publishing,9.78148E+12,2013,1,734,SQL Server Programming and Database Design for Developers,Kalman Toth,Createspace Independent Publishing Platform,9.78148E+12,2013,1,734
"Genomes, Browsers, and Databases: Data-Mining Tools for Integrated Genomic Databases",Peter Schattner,Cambridge University Press,9.78052E+12,2008,7,344,"Genomes, Browsers and Databases: Data-Mining Tools for Integrated Genomic Databases",Peter Schattner,Cambridge University Press,9.78052E+12,2008,6,328
A Complete Guide to DB2 Universal Database / Edition 2,"Don Chamberlin,D. D. Chamberlin",Elsevier Science,9.78156E+12,1998,6,816,A Complete Guide to DB2 Universal Database,Don Chamberlin,Morgan Kaufmann Publishers,9.78156E+12,1998,6,816
Applications of Logic Databases / Edition 1,Raghu Ramakrishnan,Springer US,9.78079E+12,1994,11,1995,Applications of Logic Databases,Raghu Ramakrishnan,Springer,9.78079E+12,1994,11,280
Distributed Database Management,"James Alan Larson,Saeed Rahimi",IEEE Computer Society Press,9.78082E+12,1985,2,678,Tutorial: Distributed Database Management,"James A. Larson,Saeed Rahimi",Ieee Computer Society,9.78082E+12,1985,1,669
CyberHound's Guide to Internet Databases,Gwen Turecki,Cengage Gale,9.78079E+12,1997,2,1188,Cyberhound's Guide to Internet Databases,"Gale Cengage Learning,Gwen Turecki",Gale Cengage,9.78079E+12,1997,3,1141
Multimedia Database Systems: Design and Implementation Strategies,"Kingsley C. Nwosu,B. Thuraisingham,P. Bruce Berra",Springer US,9.78146E+12,2012,7,392,Multimedia Database Systems: Design and Implementation Strategies,"Kingsley C. Nwosu,Bhavani Thuraisingham,P. Bruce Berra",Springer,9.78146E+12,2011,10,392
Multimedia Database Retrieval: Technology and Applications,"Paisarn Muneesawang,Ning Zhang,Ling Guan",Springer International Publishing,9.78332E+12,2014,11,350,Multimedia Database Retrieval: Technology and Applications,"Paisarn Muneesawang,Ning Zhang,Ling Guan",Springer,9.78332E+12,2014,11,350
Advanced Database Indexing,"Yannis Manolopoulos,Yannis Theodoridis,Vassilis Tsotras",Springer US,9.78146E+12,2012,12,0,Advanced Database Indexing,"Yannis Manolopoulos,Yannis Theodoridis,Vassilis J Tsotras",Springer,9.78146E+12,2012,9,286
Fuzziness in Database Management Systems,Patrick Bosc,Physica-Verlag HD,9.78366E+12,2013,7,0,Fuzziness in Database Management Systems,Patrick Bosc,Physica-Verlag,9.78366E+12,2013,7,433
OCA Oracle Database 11g: SQL Fundamentals I: A Real World Certification Guide,Steve Ries,Packt Publishing,9.78185E+12,2011,11,460,Oca Oracle Database 11g: SQL Fundamentals I: A Real World Certification Guide,Steve Ries,Packt Publishing,9.78185E+12,2011,11,460
Introduction to Database Systems / Edition 8,C.J. Date,Pearson,9.78032E+12,2003,7,983,An Introduction to Database Systems,C.J. Date,Pearson,9.78032E+12,2003,8,1024
"DB2 9 for Linux, UNIX, and Windows Database Administration Certification Study Guide",Roger E. Sanders,Mc Press,9.78158E+12,2007,10,880,"DB2 9 for Linux, UNIX, and Windows Database Administration: Certification Study Guide",Roger E. Sanders,Mc Press,9.78158E+12,2007,10,880
Blackstones Police Operational Handbook,Police National Legal Database (PNLD),"Oxford University Press, USA",9.7802E+12,2008,3,784,Blackstone's Police Operational Handbook,"Police National Legal Database,Fraser Sampson","Oxford University Press, USA",9.7802E+12,2008,3,777
Object-Oriented Modeling and Design for Database Applications / Edition 1,"Michael R. Blaha,William Premerlani",Pearson,9.78013E+12,1997,7,484,Object-Oriented Modeling and Design for Database Applications,"Michael R. Blaha,William Premerlani",Pearson,9.78013E+12,1997,7,484
Searching Multimedia Databases by Content,Christos Faloutsos,Springer US,9.78146E+12,2012,7,0,Searching Multimedia Databases by Content,Christos Faloutsos,Springer,9.78146E+12,2011,9,155
"The Investigative Reporter's Handbook: A Guide to Documents, Databases, and Techniques / Edition 5","Brant Houston,Inc. Investigative Reporters and Editors,Steve Weinberg",Bedford/St. Martin's,9.78031E+12,2008,11,608,"The Investigative Reporter's Handbook: A Guide to Documents, Databases, and Techniques",Brant Houston,Bedford/St. Martin's,9.78031E+12,2008,11,608
Beginning Visual Basic 6 Database Programming,"CONNELL,John Connell",Apress,9.78186E+12,1998,7,700,Beginning Visual Basic 6 Database Programming,John Connell,Apress,9.78186E+12,1998,8,880
Designing Litigation Support Databases,Despina C. Kartson,Wolters Kluwer Law & Business,9.78047E+12,1995,12,237,Designing Litigation Support Databases,Despina C. Kartson,Aspen Publishers,9.78047E+12,1995,12,237
Java Database Programming with Jdbc: Discover the Essentials for Developing Databases,"Pretik Patel,Karl Moss",Coriolis Group,9.78158E+12,1997,5,500,Java Database Programming with JDBC: Discover the Essentials for Developing Databases for Internet and Intranet Applications,"Pretik Patel,Karl Moss,Pretik Patel",Coriolis Group Books,9.78158E+12,1997,8,491
Database: Technology and Management,Robert C. Goldstein,Wiley,9.78047E+12,1985,1,352,Database: Technology and Management,Robert C. Goldstein,Wiley,9.78047E+12,1985,1,352
Spatial Databases: With Application to GIS / Edition 1,Philippe Rigaux,Elsevier Science,9.78156E+12,2001,6,410,Spatial Databases: With Application to GIS,Philippe Rigaux,Morgan Kaufmann Publishers,9.78156E+12,2001,6,410
Visual Basic and Databases - Professional Edition,"Philip Conrod,Lou Tylee",Kidware Software & BibleByte Books,9.78194E+12,2013,2,908,Visual Basic and Databases - Professional Edition,"Philip Conrod,Lou Tylee",Kidware Software,9.78194E+12,2013,2,908
Provenance In Databases,James Cheney,Now Publishers,9.7816E+12,2009,6,110,Provenance in Databases,"James Cheney,Laura Chiticariu,Wang-Chiew Tan",Now Publishers,9.7816E+12,2009,6,110
Ontologies and Databases,Athman Bouguettaya,Springer US,9.78144E+12,2010,12,120,Ontologies and Databases,Athman Bouguettaya,Springer,9.78144E+12,2010,12,120
Relational Database Systems,D. A. Bell,Elsevier Science & Technology Books,9.78008E+12,1986,10,470,Relational Databases,D.A. Bell,Pergamon,9.78008E+12,1986,1,470
Java Persistence for Relational Databases,"Richard Sperko,John Carnell",Apress,9.78159E+12,2003,7,368,Java Persistence for Relational Databases,Richard Sperko,Apress,9.78159E+12,2003,7,368
